CASE	FILES	SENT_ID	LEFT	NODE	RIGHT	NODE_SENTENCES	WORD_CLASS	USE	SYN_FUNC_NODE	PATTERN	MP	LU_POST	BODY_PART	LU	LU_GLOSS	LU_POS	NEGATION	METONYMY	SFRAME	SFRAME_URL	SFRAME_RELATED	SFRAME_RELATED_URL	SFRAME_RELATED_LINK	ROLEMAPPING_TD_IN_SFRAME	CM_ROLEMAPPING	CM_BROADER	MAP1	MAP2	MAP3	MAP4	NOTES
1125	ind-id_web_2015_3M	1484781	Lihat kitab Qishshatu Masihid Dajjal wa Nuzul ÔIsa wa Qatlihi Iyyahu karya Asy-Syaikh Al-Albani rahimahullahu) Sebabnya adalah karena satu	amarah	.	Lihat kitab Qishshatu Masihid Dajjal wa Nuzul ÔIsa wa Qatlihi Iyyahu karya Asy-Syaikh Al-Albani rahimahullahu) Sebabnya adalah karena satu <m>amarah</m>.	NA	?		<w>satu</w> node				<w>satu</w>																	
1670	ind_newscrawl_2012_1M	524811	Kamp latihan Italia tetap bersikap bungkam terhadap siapa sosok yang menjadi subyek	kemarahan	Balotelli.	Kamp latihan Italia tetap bersikap bungkam terhadap siapa sosok yang menjadi subyek <m>kemarahan</m> Balotelli.	NA	?		TARGET menjadi <w>subyek</w> node		l1		<w>subyek</w>																	
2093	ind_web_2011_300K	21423	Ketika Anda terbiasa dengan	kemarahan	tingkat rendah sepanjang waktu, Anda tidak menyadari seperti apa normal itu.	Ketika Anda terbiasa dengan <m>kemarahan</m> tingkat rendah sepanjang waktu, Anda tidak menyadari seperti apa normal itu.	NA	?		<w>terbiasa dengan</w> node		l1		<w>terbiasa dengan</w>																	
1462	ind_newscrawl_2011_1M	957663	JAKARTA (LampostOnline):	Kemarahan	Presiden Susilo Bambang Yudhoyono (SBY) terekam kamera televisi saat bertemu dengan perwakilan Bakrie Group, Nirwan Bakrie, dan sejumlah menteri membahas Lapindo.	JAKARTA (LampostOnline): <m>Kemarahan</m> Presiden Susilo Bambang Yudhoyono (SBY) terekam kamera televisi saat bertemu dengan perwakilan Bakrie Group, Nirwan Bakrie, dan sejumlah menteri membahas Lapindo.	NA	?		node <w>terekam kamera</w>		r1		<w>terekam kamera</w>																	
991	ind_news_2011_300K	85553	Banyak warga Tibet di China marah atas apa yang mereka anggap sebagai dominasi yang meningkat kelompok etnik Han yang mayoritas di negara itu dan biara Kirti menjadi titik api bagi	kemarahan	yang meningkat atas terkikisnya kebudayaan mereka.	Banyak warga Tibet di China marah atas apa yang mereka anggap sebagai dominasi yang meningkat kelompok etnik Han yang mayoritas di negara itu dan biara Kirti menjadi titik api bagi <m>kemarahan</m> yang meningkat atas terkikisnya kebudayaan mereka.	NA	?		<w>titik api bagi</w> node		l1		<w>titik api bagi</w>					fire												
480	ind_mixed_2012_1M	168070	Akan tetapi rasa heran, kaget dan	marah	membuat dia cepat dapat menguasai dirinya kembali.	Akan tetapi rasa heran, kaget dan <m>marah</m> membuat dia cepat dapat menguasai dirinya kembali.	noun	?	complement																						
2793	ind_mixed_2012_1M	999648	Ini juga disebut necerdasan emosional, karena berhubungan dengan ceramu mengatasi emosi, misalnya rasa takut dan	marah	.	Ini juga disebut necerdasan emosional, karena berhubungan dengan ceramu mengatasi emosi, misalnya rasa takut dan <m>marah</m>.	noun	?	complement																						
11129	ind-id_web_2013_1M	326472	Iblis keluar meninggalkan Ayyub dalam keadaan bersujud munajat dengan rasa jengkel dan	marah	kepada dirinya sendiri kerana telah gagal untuk kedua kalinya memujuk dan menghasut Ayyub.	Iblis keluar meninggalkan Ayyub dalam keadaan bersujud munajat dengan rasa jengkel dan <m>marah</m> kepada dirinya sendiri kerana telah gagal untuk kedua kalinya memujuk dan menghasut Ayyub.	noun	?	complement																						
721	ind_mixed_2012_1M	260444	Namun hatinya yang tadinya kesal, dongkol dan	marah	kepada Johan tanpa sadari Winda perasaannya mulai berubah.	Namun hatinya yang tadinya kesal, dongkol dan <m>marah</m> kepada Johan tanpa sadari Winda perasaannya mulai berubah.	adjective	?	predicative																						
7559	ind_web_2012_1M	78132	Harapan saya, program pembersihan ini harus adil dan jujur, sehingga imigrasi sebagai pintu masuk dan keluar negara menjadi steril dari para petugas kotor yang membahayakan keamanan negara,Ó katanya dengan	marah	.	Harapan saya, program pembersihan ini harus adil dan jujur, sehingga imigrasi sebagai pintu masuk dan keluar negara menjadi steril dari para petugas kotor yang membahayakan keamanan negara,Ó katanya dengan <m>marah</m>.	noun	?	complement																						
9146	ind_web_2012_1M	876741	Maka ketika mendengar perdebatan mereka Umaa keluar dengan	marah	dan berkata: ÒDua orang dari Rasulullah saw telah berselisih, yaitu di antara orang-orang yang memperhatikan Rasul dan mengambil dari Rasul.	Maka ketika mendengar perdebatan mereka Umaa keluar dengan <m>marah</m> dan berkata: ÒDua orang dari Rasulullah saw telah berselisih, yaitu di antara orang-orang yang memperhatikan Rasul dan mengambil dari Rasul.	noun	?	complement																						
3095	ind_news_2009_300K	34294	Juve menanggapi dengan	marah	terhadap komentar Mourinho itu.	Juve menanggapi dengan <m>marah</m> terhadap komentar Mourinho itu.	noun	?	complement																						
10380	ind_wikipedia_2016_1M	576460	Namun, Liu juga menentang hal tersebut, dan Xiao Yaoguang, pada tahun 499, dengan	marah	, tidak berhasil di dalam percobaannya untuk membunuh Liu, yang kemudian melaporkan rencana itu kepada Xiao Baojuan.	Namun, Liu juga menentang hal tersebut, dan Xiao Yaoguang, pada tahun 499, dengan <m>marah</m>, tidak berhasil di dalam percobaannya untuk membunuh Liu, yang kemudian melaporkan rencana itu kepada Xiao Baojuan.	noun	?	complement																						
8911	ind_web_2012_1M	762145	Selly melirik ke atas memandang pria itu dengan	marah	, tapi dia tetap memasukkan penis itu ke mulutnya karena terpaksa.	Selly melirik ke atas memandang pria itu dengan <m>marah</m>, tapi dia tetap memasukkan penis itu ke mulutnya karena terpaksa.	noun	metonymy	complement	<w>memandang</w> dengan node	<w>memandang</w> dengan node	l2		<w>memandang</w>				angry/aggresive visual behaviour for anger													
2077	ind_mixed_2012_1M	752477	Kang Ha menyingkirkan tangan Pal Kang dan membentaknya dengan	marah	bahwa ia baik-baik saja, Kang Ha langsung ke kamarnya.	Kang Ha menyingkirkan tangan Pal Kang dan membentaknya dengan <m>marah</m> bahwa ia baik-baik saja, Kang Ha langsung ke kamarnya.	noun	metonymy	complement	<w>membentak</w>nya dengan node	<w>membentak</w>nya dengan node	l2		<w>membentak</w>				strong/aggressive verbal behaviour for anger													
7178	ind_web_2011_300K	201802	Orang-orang masuk dengan	marah	.	Orang-orang masuk dengan <m>marah</m>.	noun	?	complement																						
121	ind_mixed_2012_1M	36400	Tentu saja Si Kwi menolak dengan	marah	.	Tentu saja Si Kwi menolak dengan <m>marah</m>.	noun	?	complement																						
3	ind_mixed_2012_1M	529	Di dalam rumah, istri Nasrudin sudah menanti dengan	marah	.	Di dalam rumah, istri Nasrudin sudah menanti dengan <m>marah</m>.	noun	?	complement																						
7378	ind_web_2011_300K	291554	Khawatir yang berlebihan dengan	marah	itu nada-nadanya beda tipis,tapi saya tahu itu adalah khawatir.	Khawatir yang berlebihan dengan <m>marah</m> itu nada-nadanya beda tipis,tapi saya tahu itu adalah khawatir.	noun	?	complement																						
9361	ind_web_2012_1M	990404	Marahi aku jika aku terselah tapi cukup dengan	marah	yang sewajarnya.	Marahi aku jika aku terselah tapi cukup dengan <m>marah</m> yang sewajarnya.	noun	?	complement																						
7206	ind_web_2011_300K	216990	Namun demikian permainan itu semakin lama terasa semakin mengganggu sehingga akhirnya beberapa orang dengan	marah	telah memaki anak-anak muda yang tidak menghiraukan keadaan orang lain itu.	Namun demikian permainan itu semakin lama terasa semakin mengganggu sehingga akhirnya beberapa orang dengan <m>marah</m> telah memaki anak-anak muda yang tidak menghiraukan keadaan orang lain itu.	noun	metonymy	complement	dengan node telah <w>memaki</w>	dengan node telah <w>memaki</w>	r3		<w>memaki</w>				strong/aggressive verbal behaviour for anger													
1950	ind_mixed_2012_1M	706259	""" Paijo menjawab dengan"	marah	", ""Dahulu pun rasul-rasul dan nabi-nabi diutus Tuhan dengan mujizat, tapi kenapa kamu tidak mau percaya?"	""" Paijo menjawab dengan <m>marah</m>, ""Dahulu pun rasul-rasul dan nabi-nabi diutus Tuhan dengan mujizat, tapi kenapa kamu tidak mau percaya?"	noun	?	complement																						
3164	ind_news_2009_300K	93938	Birma dengan	marah	"menolak pernyataan Asean dengan mengatakan pernyataan tersebut tidak betul dan ""tidak sesuai"" dengan ketentuan Asean."	"Birma dengan <m>marah</m> menolak pernyataan Asean dengan mengatakan pernyataan tersebut tidak betul dan ""tidak sesuai"" dengan ketentuan Asean."	noun	?	complement																						
8759	ind_web_2012_1M	677052	Ó bentakku dengan	marah	sambil menutupi bagian tubuhku yang terbuka.	Ó bentakku dengan <m>marah</m> sambil menutupi bagian tubuhku yang terbuka.	noun	metonymy	complement	<w>bentak</w>ku dengan node	<w>bentak</w>ku dengan node	l2		<w>bentak</w>				strong/aggressive verbal behaviour for anger													
1511	ind_mixed_2012_1M	542485	Ini sebenarnya cara Min woo ngajak Kae Hwa makan sama-sama, hanya saja Kae Hwa terlalu sedang tidak enak hati jadi ia membuang semua mie ke bak cuci dengan	marah	! yah.	Ini sebenarnya cara Min woo ngajak Kae Hwa makan sama-sama, hanya saja Kae Hwa terlalu sedang tidak enak hati jadi ia membuang semua mie ke bak cuci dengan <m>marah</m>! yah.	noun	?	complement																						
2161	ind_mixed_2012_1M	782389	""" Biauw Eng memandang Yan Cu dengan mata bersinar marah, akan tetapi Yan Cu tidak takut dan membalas pandangan mata Biauw Eng dengan"	marah	pula.	""" Biauw Eng memandang Yan Cu dengan mata bersinar marah, akan tetapi Yan Cu tidak takut dan membalas pandangan mata Biauw Eng dengan <m>marah</m> pula."	noun	metonymy	complement	<w>membalas pandangan mata</w> dengan node	<w>membalas pandangan mata</w> dengan node	l2	mata	<w>membalas pandangan mata</w>				angry/aggresive visual behaviour for anger													
2961	ind_news_2008_300K	180740	Para pemimpin Palestina bereaksi dengan	marah	dan cemas, Rabu, karena Obama mengatakan Jerusalem sebaiknya menjadi ibukota Israel yang tidak dapat dibagi.	Para pemimpin Palestina bereaksi dengan <m>marah</m> dan cemas, Rabu, karena Obama mengatakan Jerusalem sebaiknya menjadi ibukota Israel yang tidak dapat dibagi.	noun	?	complement																						
3194	ind_news_2009_300K	132398	Tuduhan keterlibatan Rusia, yang dengan	marah	dibantah di Moskwa, memicu kembali ketegangan diplomatik, yang tetap tinggi sejak perang lima hari di antara tetangga itu pada Agustus 2008.	Tuduhan keterlibatan Rusia, yang dengan <m>marah</m> dibantah di Moskwa, memicu kembali ketegangan diplomatik, yang tetap tinggi sejak perang lima hari di antara tetangga itu pada Agustus 2008.	noun	?	complement																						
2857	ind_news_2008_300K	70342	Sedikitnya 20.000 personil keamanan dikerahkan untuk menangani para pengunjuk rasa yang dengan	marah	menentang perjanjian impor daging sapi Amerika yang kontroversial.	Sedikitnya 20.000 personil keamanan dikerahkan untuk menangani para pengunjuk rasa yang dengan <m>marah</m> menentang perjanjian impor daging sapi Amerika yang kontroversial.	noun	?	complement																						
13100	ind-id_web_2015_3M	2261952	"S-a-r-j-a-n-a,"" kata Sabila dengan"	marah	.	"S-a-r-j-a-n-a,"" kata Sabila dengan <m>marah</m>."	noun	?	complement																						
9401	ind_wikipedia_2016_1M	19218	Akhirnya Amba melempar karangan bunganya ke tiang balai pertemuan Raja Drupada, setelah itu ia pergi dengan	marah	.	Akhirnya Amba melempar karangan bunganya ke tiang balai pertemuan Raja Drupada, setelah itu ia pergi dengan <m>marah</m>.	noun	?	complement																						
628	ind_mixed_2012_1M	224797	Ó kata si kakek dengan	marah	.	Ó kata si kakek dengan <m>marah</m>.	noun	?	complement																						
274	ind_mixed_2012_1M	93335	Dengan	marah	aku menoleh ke pak Edy yang masih asyik meremasi kedua payudaraku dari belakang.	Dengan <m>marah</m> aku menoleh ke pak Edy yang masih asyik meremasi kedua payudaraku dari belakang.	noun	?	complement																						
5977	ind_newscrawl_2012_1M	940070	Dengan	marah	, ia kembali menemui Lisa alias Kasih.	Dengan <m>marah</m>, ia kembali menemui Lisa alias Kasih.	noun	?	complement																						
4098	ind_newscrawl_2011_1M	91627	Dengan	marah	, Munno menyebut bahwa hal itu dilakukannya karena dirinya tidak mempercayai Bidam, yang dianggap sangat mirip Mishil.	Dengan <m>marah</m>, Munno menyebut bahwa hal itu dilakukannya karena dirinya tidak mempercayai Bidam, yang dianggap sangat mirip Mishil.	noun	?	complement																						
8095	ind_web_2012_1M	354857	Namun jika ia	marah	ia akan mengamuk dan sangat mengerikan.	Namun jika ia <m>marah</m> ia akan mengamuk dan sangat mengerikan.	adjective	metonymy	predicative	EXP <w>mengamuk</w>	EXP <w>mengamuk</w>			<w>mengamuk</w>				violent frustated behaviour for anger													
5248	ind_newscrawl_2012_1M	157527	Mungkin juga	marah	dalam tanpa berdaya, energi yang tampaknya akan dipakai Daniel Mahendra untuk menggenapkan Epitaph dengan novel lainnya.	Mungkin juga <m>marah</m> dalam tanpa berdaya, energi yang tampaknya akan dipakai Daniel Mahendra untuk menggenapkan Epitaph dengan novel lainnya.	adjective	literal	predicative																						
2286	ind_mixed_2012_1M	829922	Karena da orang yang temperamental, kalau	marah	memaki-maki lalu sesudah itu dia meminta maaf, tetapi dia lupa bahwa makiannya tadi sebenarnya lebih menyakiti daripada permintaan maaf yang dia sampaikan.	Karena da orang yang temperamental, kalau <m>marah</m> memaki-maki lalu sesudah itu dia meminta maaf, tetapi dia lupa bahwa makiannya tadi sebenarnya lebih menyakiti daripada permintaan maaf yang dia sampaikan.	adjective	?	predicative																						
12931	ind-id_web_2015_3M	1946141	Pelan-pelan ada cairan lain yang naik ke saraf-saraf otak, rasa gusar, kesal,	marah	.	Pelan-pelan ada cairan lain yang naik ke saraf-saraf otak, rasa gusar, kesal, <m>marah</m>.	noun	?	adverbial																						
6866	ind_web_2011_300K	58164	Karena pertama hal ini sama sekali bukanlah ilmu dan yang kedua uslub (cara) seperti ini membuat hati menjadi	marah	, dan menimbulkan hasad dan permusuhan pada hati-hati (kalian).	Karena pertama hal ini sama sekali bukanlah ilmu dan yang kedua uslub (cara) seperti ini membuat hati menjadi <m>marah</m>, dan menimbulkan hasad dan permusuhan pada hati-hati (kalian).	adjective	?	predicative																						
309	ind_mixed_2012_1M	102066	Bukan berarti keluarga ini kejam,melainkan karena keluarga ini penuh dengan perasaan	marah	.	Bukan berarti keluarga ini kejam,melainkan karena keluarga ini penuh dengan perasaan <m>marah</m>.	noun	?	modifier																						
9722	ind_wikipedia_2016_1M	225775	Dr Eogan dan Nona Richardson menyebutkan bahwa sementara pria dan wanita mengalami depresi yang sama akibat pemerkosaan, perasaan	marah	yang amat kuat cenderung lebih umum dirasakan oleh pria.	Dr Eogan dan Nona Richardson menyebutkan bahwa sementara pria dan wanita mengalami depresi yang sama akibat pemerkosaan, perasaan <m>marah</m> yang amat kuat cenderung lebih umum dirasakan oleh pria.	noun	?	modifier																						
13477	ind-id_web_2015_3M	2853655	Tujuannya, segera berlindung kepada kekuatan Allah untuk mengusir kekuatan setan yang terbungkus dalam bentuk sikap	marah	dan emosi.	Tujuannya, segera berlindung kepada kekuatan Allah untuk mengusir kekuatan setan yang terbungkus dalam bentuk sikap <m>marah</m> dan emosi.	noun	?	modifier																						
7795	ind_web_2012_1M	194703	Dia ini kalau sudah	marah	sangat menyeramkan.	Dia ini kalau sudah <m>marah</m> sangat menyeramkan.	adjective	?	predicative																						
2430	ind_web_2012_1M	228993	Dr. Luskin mengatakan :	Kemarahan	yang berkepanjangan atau tidak terselesaikan, adalah seperti kita men-set thermostat (alat untuk mengatur suhu seperti yang ada pada alat pendingin atau AC) yang ada di dalam tubuh kita.	Dr. Luskin mengatakan : <m>Kemarahan</m> yang berkepanjangan atau tidak terselesaikan, adalah seperti kita men-set thermostat (alat untuk mengatur suhu seperti yang ada pada alat pendingin atau AC) yang ada di dalam tubuh kita.	NA	?																							
1093	ind_news_2012_300K	82528	"""Ada"	kemarahan	", ada kekhawatiran, tapi ujungnya ada optimisme,"" katanya."	"""Ada <m>kemarahan</m>, ada kekhawatiran, tapi ujungnya ada optimisme,"" katanya."	NA	?																							
3157	ind-id_web_2013_1M	440964	~	Kemarahan	juga diungkapkan oleh warga Tiongkok dengan menggelar demontrasi anti Jepang di negara mereka.	<m>Kemarahan</m> juga diungkapkan oleh warga Tiongkok dengan menggelar demontrasi anti Jepang di negara mereka.	NA	?																							
2082	ind_web_2011_300K	13930	~	Kemarahan	Sumangkar yang terluka dan menghadapi beberapa orang lawan sekaligus telah mengakhiri hidupnya dengan luka yang menganga di dadanya.	<m>Kemarahan</m> Sumangkar yang terluka dan menghadapi beberapa orang lawan sekaligus telah mengakhiri hidupnya dengan luka yang menganga di dadanya.	NA	?																							
3513	ind-id_web_2015_3M	1329826	Kendala-kendala di Jalan Menuju Kesabaran 2.	Kemarahan	menafikan (menghilangkan) kesabaran. 3. Putus asa adalah kendala terbesar untuk bisa berlaku sabar.	Kendala-kendala di Jalan Menuju Kesabaran 2. <m>Kemarahan</m> menafikan (menghilangkan) kesabaran. 3. Putus asa adalah kendala terbesar untuk bisa berlaku sabar.	NA	?																							
277	ind_mixed_2012_1M	492971	Tahanan di negara-negara barat tidak seharusnya disiksa, jika ada, maka akan ada	kemarahan	publik ketika ditemukan fakta.	Tahanan di negara-negara barat tidak seharusnya disiksa, jika ada, maka akan ada <m>kemarahan</m> publik ketika ditemukan fakta.	NA	?																							
2748	ind_wikipedia_2016_1M	39909	"Antara penumpang beca satu dengan penumpang beca yang lain dibenarkan saling berlempar-lemparan air atau menembak dengan pistol air; tidak ada"	kemarahan	.	"Antara penumpang beca satu dengan penumpang beca yang lain dibenarkan saling berlempar-lemparan air atau menembak dengan pistol air; tidak ada <m>kemarahan</m>."	NA	?																							
414	ind_mixed_2012_1M	746378	PG : Betul, akhirnya masing-masing bersikap apatis, tapi masalahnya dibalik sikap apatis itu ada	kemarahan	.	PG : Betul, akhirnya masing-masing bersikap apatis, tapi masalahnya dibalik sikap apatis itu ada <m>kemarahan</m>.	NA	?																							
1649	ind_newscrawl_2012_1M	454760	Ada	kemarahan	, kekhawatiran, tapi ujungnya optimisme.	Ada <m>kemarahan</m>, kekhawatiran, tapi ujungnya optimisme.	NA	?																							
2999	ind_wikipedia_2016_1M	775337	Saruman punya saat keraguan tetapi kebanggaan akhir,	kemarahan	, dan kebencian menang atas dan ia menolak kesempatan penebusan.	Saruman punya saat keraguan tetapi kebanggaan akhir, <m>kemarahan</m>, dan kebencian menang atas dan ia menolak kesempatan penebusan.	NA	?																							
1724	ind_newscrawl_2012_1M	679263	Atau dari makanan yang kita santap karena dipotong dengan cara-cara yang sangat keji sehingga racun-racun negatif akibat	kemarahan	ternak dan satwa itu menyebar dalam daging yang kita konsumsi.	Atau dari makanan yang kita santap karena dipotong dengan cara-cara yang sangat keji sehingga racun-racun negatif akibat <m>kemarahan</m> ternak dan satwa itu menyebar dalam daging yang kita konsumsi.	NA	?																							
3613	ind-id_web_2015_3M	1793951	Namun tidak jarang dalam hubungan dengan sesama, kita merasakan kekecewaan, kekesalan, bahkan	kemarahan	yang akan berakhir pada perselisihan dan perpecahan.	Namun tidak jarang dalam hubungan dengan sesama, kita merasakan kekecewaan, kekesalan, bahkan <m>kemarahan</m> yang akan berakhir pada perselisihan dan perpecahan.	NA	?																							
751	ind_news_2009_300K	136857	Departemen luar negeri Inggris menggambarkan pengadilan Rassam ini sebagai bentuk	kemarahan	Iran dan menegaskan bahwa sikap Iran tersebut bertentangan dengan jaminan sebelumnya, yang telah diberikan oleh pemerintah Iran.	Departemen luar negeri Inggris menggambarkan pengadilan Rassam ini sebagai bentuk <m>kemarahan</m> Iran dan menegaskan bahwa sikap Iran tersebut bertentangan dengan jaminan sebelumnya, yang telah diberikan oleh pemerintah Iran.	NA	?																							
483	ind_mixed_2012_1M	875041	Jadi saat emosinya bergejolak dia harus langsung mengeluarkan dan keluarnya dalam bentuk	kemarahan	.	Jadi saat emosinya bergejolak dia harus langsung mengeluarkan dan keluarnya dalam bentuk <m>kemarahan</m>.	NA	?																							
3678	ind-id_web_2015_3M	2253135	Sampai-sampai orangtua tidak tahan dan berakibat tragedi, yang dimulai dari luapan emosi berupa	kemarahan	, bentakan, kekerasan fisik, diusir dari rumah bahkan yang paling tragis adalah bunuh diri ataupun pembunuhan.	Sampai-sampai orangtua tidak tahan dan berakibat tragedi, yang dimulai dari luapan emosi berupa <m>kemarahan</m>, bentakan, kekerasan fisik, diusir dari rumah bahkan yang paling tragis adalah bunuh diri ataupun pembunuhan.	NA	?																							
2623	ind_web_2012_1M	681929	Stres dan	kemarahan	, ketakutan dan kekecewaan serta emosi sejenis lainnya bisa meningkatkan lemak dan kolesterol darah.	Stres dan <m>kemarahan</m>, ketakutan dan kekecewaan serta emosi sejenis lainnya bisa meningkatkan lemak dan kolesterol darah.	NA	?																							
470	ind_mixed_2012_1M	847629	Begitu pula tajalliyat pemaksaan Allah (qahriyyah) dan Penguasa (malikiyyah), yang merupakan bagian dari tajaliyyat Kebesaran (jalal), terjewantah di dunia ini dalam bentuk kebencian (bughdah) dan	kemarahan	(ghadhab).	Begitu pula tajalliyat pemaksaan Allah (qahriyyah) dan Penguasa (malikiyyah), yang merupakan bagian dari tajaliyyat Kebesaran (jalal), terjewantah di dunia ini dalam bentuk kebencian (bughdah) dan <m>kemarahan</m> (ghadhab).	NA	?																							
3092	ind-id_web_2013_1M	180116	Dan	kemarahan	bisa,, bisa,, bisa,, tentu sangat bisa membuat seseorang menjadi tdk bijaksana.	Dan <m>kemarahan</m> bisa,, bisa,, bisa,, tentu sangat bisa membuat seseorang menjadi tdk bijaksana.	NA	?																							
2944	ind_wikipedia_2016_1M	541288	Meskipun banyak filsuf dan penulis telah memperingatkan terhadap kemarahan yang spontan dan tak terkendali, terdapat ketidaksepakatan tentang nilai intrinsik dari	kemarahan	.	Meskipun banyak filsuf dan penulis telah memperingatkan terhadap kemarahan yang spontan dan tak terkendali, terdapat ketidaksepakatan tentang nilai intrinsik dari <m>kemarahan</m>.	NA	?																							
2785	ind_wikipedia_2016_1M	187118	Dia menembak In-wook dan Soo-jung keluar dari	kemarahan	melihat mereka di tempat tidur bersama.	Dia menembak In-wook dan Soo-jung keluar dari <m>kemarahan</m> melihat mereka di tempat tidur bersama.	NA	?																							
