SEARCH_TERM	LU	CITATIONS	ENGLISH_TRANSLATION	SOURCES	PAGE_LOCATION	LU_GLOSS	SFRAME	CM_BROADER	BODY_PART	MAP_1	MAP_2	MAP_3	RELEVANCE	KBBI_SENSE	ORIGIN	NOTES
angry	menaikkan darah	<w>menaikkan darah</w>	"make s.o. angry; lit to raise the blood"	stevens_and_schmidgall-tellings_2004	654	to raise sth.	pressure in a container	anger is (heated) fluid in a container	darah	anger_(heated-)fluid	increased anger is fluid (being caused to) rises		metaphor			
marah	penaik darah	<w>penaik darah</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	"person who raises the blood; angry person"	pressure in a container	anger is (heated) fluid in a container		anger_(heated-)fluid	increased anger is fluid (being caused to) rises		metaphor			
kemarahan	naik darah	<w>naik darah</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=02723016-v&lang=ind&lang2=eng		pressure in a container	anger is (heated) fluid in a container		anger_(heated-)fluid	increased anger is fluid (being caused to) rises		metaphor			verticality
anger	meluap	<w>meluap</w>	flare up (of anger)	stevens_and_schmidgall-tellings_2004	595	boil over (of a liquid)	heated fluid	anger is (heated) fluid in a container		anger_(heated-)fluid	anger-level_fluid-heat-level	angry-person_container	metaphor			
anger	merobok	hati <w>merobok</w>	boiling with anger	stevens_and_schmidgall-tellings_2004	836	"to bubble; burble (of water)"	heated fluid	anger is (heated) fluid in a container	hati	anger_(heated-)fluid	anger-level_fluid-heat-level	angry-person_container	metaphor			
marah	mendidih	Darahnya <w>mendidih</w>		tesaurus_kemdikbud	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; kamus_pusat_bahasa_2008_353"	to seethe	heated fluid	anger is (heated) fluid in a container	darah	anger_(heated-)fluid	anger-level_fluid-heat-level	angry-person_container	metaphor			
marah	naik setum	<w>naik setum</w>		kbbi	https://kbbi.kemdikbud.go.id/entri/naik%20setum	rising steam/fumes	heated fluid	anger is (heated) fluid in a container		anger_(heated-)fluid	increased anger is fluid (being caused to) rises	angry-person_container	metaphor			verticality
anger	darah muda	<w>darah muda</w>	quick to anger	stevens_and_schmidgall-tellings_2004	226	quick to anger	liquid	anger is (heated) fluid in a container	darah	anger_(heated-)fluid			metaphor			
kemarahan	kekalutan	<w>kekalutan</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=14391876-n&lang=ind&lang2=eng		mixture	anger is (heated) fluid in a container		anger_(heated-)fluid	increased anger is mixture of fluid		no			
anger	memendamkan	<w>memendamkan</w>	to swallow (one's anger)	stevens_and_schmidgall-tellings_2004	730	"to bury; hide"	hiding	anger is (un)veiled object		anger_(un)hidden-object	suppressing anger is hiding/protecting an object		metaphor			
anger	meredap	<w>meredap</w>	kept inside (as of anger)	stevens_and_schmidgall-tellings_2004	816	kept inside, not appearing on the surface	hiding	anger is (un)veiled object		anger_(un)hidden-object	suppressing anger is hiding/protecting an object		metaphor			
anger	menyembunyikan	Jangan kau <w>menyembunyikan</w> <t>kemarahan</t>mu	Don't hold your anger inside	stevens_and_schmidgall-tellings_2004	905	"to hide; conceal"	hiding	anger is (un)veiled object		anger_(un)hidden-object	suppressing anger is hiding/protecting an object		metaphor			
marah	getir	<w>getir</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	bitter	taste	anger is bitterness		anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	undesirability-of-bitterness_undesirability-of-anger	metaphor			
marah	pahit	<w>pahit</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	bitter	taste	anger is bitterness		anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	undesirability-of-bitterness_undesirability-of-anger	metaphor			
amarah	kopi pahit	<w>kopi pahit</w>	bitter coffee	kamus_pusat_bahasa_2008	809	bitter coffee	taste	anger is bitterness		anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	undesirability-of-bitterness_undesirability-of-anger	metaphor			
marah	pedar hati	<w>pedar hati</w>		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/pedar"	bitter liver	taste	anger is bitterness	hati	anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	undesirability-of-bitterness_undesirability-of-anger	metaphor			
kemarahan	kegetiran	<w>kegetiran</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=07548978-n&lang=ind&lang2=eng	bitterness	taste	anger is bitterness		anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	undesirability-of-bitterness_undesirability-of-anger	metaphor			
anger	k(e)lojotan	Dia <w>k(e)lojotan</w> waktu mendengar ayahnya digampar orang	He became furious when he heard that his father had been slaped.	stevens_and_schmidgall-tellings_2004	"508; 471"	"suffer from epilepsy; epileptic"	disease	anger is disease		angry-person_patient	effect-of-anger_effect-of-the-disease		metaphor			
anger	merobok	<w>merobok</w>	pent-up anger	stevens_and_schmidgall-tellings_2004	836	to be affected on the inside and not visible externally (of a disease)	disease	anger is disease		angry-person_patient	effect-of-anger_effect-of-the-disease		metaphor			
marah	muak	aku <w>muak</w> melihat tingkah lakunya		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/muak"	"to be fed up; nauseated"	disease	anger is disease		angry-person_patient	undesirability-of-anger_undersirability-of-the-disease		metaphor			
marah	jijik	Saya <w>jijik</w> akan peringainya		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/jijik"	disgusted, revolted	disease	anger is disease		angry-person_patient	undesirability-of-anger_undersirability-of-the-disease		metaphor			
marah	gondok	Tamu itu <w>gondok</w> karena diperlakukan tidak sewajarnya.		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/gondok"	goitre, angry	disease	anger is disease		angry-person_patient	anger_disease		metaphor			
kemarahan	bercabul			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=02723016-v&lang=ind&lang2=eng	"to rampage; lit. to act immorally"	insanity	anger is insanity		anger_insanity	angry-person_insane-person	becoming-uncontrollably-angry_becoming-insane	metaphor			
angry	gegetun	<w>gegetun</w>	"angry; lit fed up"	stevens_and_schmidgall-tellings_2004	304	fed up	disease	anger is disease		angry-person_patient	undesirability-of-anger_undersirability-of-the-disease		metaphor			
angry	nanar	<w>nanar</w>	in a rage, made, angry	stevens_and_schmidgall-tellings_2004	655	confused, dazed (from an injury/sickness/drink)	disease	anger is disease		angry-person_patient	effect-of-anger_effect-of-the-disease		metaphor			
angry	berbulu	<w>berbulu hati</w>	"angry; lit hairy liver"	stevens_and_schmidgall-tellings_2004	165	hairy	metonymy	standing body hair for anger	hati				metonymy			
anger	mengutik(-ngutik)	sebagai/seperti ular dikutik ékor	to start (with fright/anger/out of one's sleep)	stevens_and_schmidgall-tellings_2004	543	touch with the finger (to get s.o.'s attention)	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	deliberately-disturbing-the-animal_causing-the-danger-of-anger		metaphor			
anger	seperti ular kena bedal/palu/pukul	<w>seperti ular kena bedal/palu/pukul</w>	restless (due to anger)	stevens_and_schmidgall-tellings_2004	1065	as if a snake being hammered/punched	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	deliberately-disturbing-the-animal_causing-the-danger-of-anger		metaphor			
anger	seperti ular dicubit ekor	<w>seperti ular dicubit ékor</w>	to face one's enemy with anger	stevens_and_schmidgall-tellings_2004	1065	as if a snake being pinched in the tail	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	deliberately-disturbing-the-animal_causing-the-danger-of-anger		metaphor			
angry	beringas(an)	dengan mata <w>beringas</w>	with angry eyes	stevens_and_schmidgall-tellings_2004	126	"wild; raging"	fierce animal	anger is fierce (captive) animal	mata	anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
angry	keluar tanduknya	<w>keluar tanduknya</w>	"get angry; lit the horns goes out"	stevens_and_schmidgall-tellings_2004	472	"get angry; lit the horns goes out"	fierce animal	anger is fierce (captive) animal	tanduk	anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
angry	melesit	<w>melesit</w>	to hum (of angry wasps)	stevens_and_schmidgall-tellings_2004	580	to hum (of angry wasps)	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
angry	menyentak-nyentak	<w>menyentak-nyentak</w>	to be angry accompanied by snarling and harsh words	stevens_and_schmidgall-tellings_2004	915	snarl	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	bengis	<w>bengis</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	cruelty	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	keberingasan	<w>keberingasan</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	wildness	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	membentak	Janganlah engkau <w>membentak</w> dan mengusir pengemis itu.		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/membentak"	"to snap at; to snarl at"	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	menembis	<w>menembis</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to snap at	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	menggermang	<w>mengerman</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01983597-v&lang=ind&lang2=eng	becoming scary	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	meremang	<w>meremang</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01983597-v&lang=ind&lang2=eng	"becoming scary; bristling"	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
marah	mengganas	<w>mengganas</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00304144-a&lang=ind&lang2=eng	becoming violent/wild/ferocious	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
kemarahan	kebengisan	<w>kebengisan</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=07516756-n&lang=ind&lang2=eng	"cruelty; harseness"	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
kemarahan	menggarang	<w>menggarang</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=02723016-v&lang=ind&lang2=eng	becoming fierce	fierce animal	anger is fierce (captive) animal		anger_restrained-fierce-entity	aggressive-animal-behaviour_aggressive-anger-behaviour		metaphor			
anger	menahan	Ia bisa <w>menahan</w> <t>marah</t>nya	He managed to control his anger	stevens_and_schmidgall-tellings_2004	143	"to hold (back); contain"	restraints	anger is fierce (captive) animal		anger_restrained-fierce-entity	regulating anger is restraining an entity	experiencer_restraining-entity	metaphor			
anger	melepaskan	<w>melepaskan</w> <t>marah</t>	to give vent to one's anger	stevens_and_schmidgall-tellings_2004	579	"to let go; release"	restraints	anger is fierce (captive) animal		anger_restrained-fierce-entity	expressing and losing control over anger is unleashing a captive		metaphor			
anger	menahan	<w>menahan</w> rasa <t>marah</t>	to keep one's anger bottled up inside one	stevens_and_schmidgall-tellings_2004	984	"to hold (back); contain"	restraints	anger is fierce (captive) animal		anger_restrained-fierce-entity	regulating anger is restraining an entity		duplicate			
anger	menahan	<w>menahan</w> <t>kemarahan</t>	to hold in one's anger	stevens_and_schmidgall-tellings_2004	984	"to hold (back); contain"	restraints	anger is fierce (captive) animal		anger_restrained-fierce-entity	regulating anger is restraining an entity		duplicate			
anger	memberongsang	<w>memberongsang</w>	to flare up (of anger)	stevens_and_schmidgall-tellings_2004	128	to flare up (of anger)	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	no	marah-marah	Minangkabau	
marah	kehangusan hati	<w>kehangusan hati</w>		Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00304144-a&lang=ind&lang2=eng	scorched/burnt liver	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	duplicate			"metonymic basis; body heat"
angry	lepas	<t>Marah</t>nya sudah <w>lepas</w>	"He is not angry anymore; lit his anger has been free/loose/unbound/unchained/releived/released"	stevens_and_schmidgall-tellings_2004	578	free/loose/unbound/unchained	restraints	anger is fierce (captive) animal		anger_restrained-fierce-entity	expressing and losing control over anger is unleashing a captive		metaphor			
anger	bakar hati	<w>bakar hati</w>	"wrath; anger; to make s.o. angry"	stevens_and_schmidgall-tellings_2004	"80; 355"	to burn the liver	fire	anger is fire	hati	anger_fire	angry-person_burning-object	anger-level_fire-intensity	metaphor			
anger	membara	hatinya sudah panas <w>membara</w>	His heart was burning with anger	stevens_and_schmidgall-tellings_2004	93	"blazing; flaring up"	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
anger	menghanguskan hati	<w>menghanguskan hati</w>	"to anger s.o.; lit. to singe/scorch the liver"	stevens_and_schmidgall-tellings_2004	347	"to anger s.o.; lit. to singe/scorch the liver"	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
anger	kehangusan hati	<w>kehangusan hati</w>	"intense feelings of anger/irritation/grief; lit. scorching liver"	stevens_and_schmidgall-tellings_2004	347	scorched/burnt liver	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
anger	lindap	<w>lindap</w>	"extinguished; over (of anger)"	stevens_and_schmidgall-tellings_2004	587	"lee; shade"	fire	anger is fire		anger_fire	angry-person_burning-object	ceasing anger is fire going out	metaphor			
anger	menyala-nyala	<w>menyala-nyala</w>	"be red hot (of anger); lit. to flare up"	stevens_and_schmidgall-tellings_2004	670	"be red hot (of anger); lit. to flare up"	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
angry	angus hati	<w>angus hati</w>	angry	stevens_and_schmidgall-tellings_2004	43	burnt out/scorched liver	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
angry	terbakar	<w>terbakar hati</w>	"angry; furious"	stevens_and_schmidgall-tellings_2004	81	got burnt	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
angry	hangus hati	<w>hangus hati</w>	"furious, angry; lit scorched/burnt liver"	stevens_and_schmidgall-tellings_2004	347	scorched/burnt liver	fire	anger is fire	hati	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
angry	mérah pijar	<w>mérah pijar</w>	fiery red (of an angry face)	stevens_and_schmidgall-tellings_2004	751	glowing (of burning metal), blazing, red-hot	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
marah	berapi-api	Ia menatap dengan pandangan <w>berapi-api</w>	to be on fire	tesaurus_kemdikbud	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; kamus_pusat_bahasa_2008_82"	to be on constant fire	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
marah	hangus dada	<w>hangus dada</w>	scorched/burnt chest	tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	scorched/burnt chest	fire	anger is fire	dada	anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
marah	meruak	<w>meruak</w>	to spread (of fire)	tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	to spread (of fire)	fire	anger is fire		anger_fire	angry-person_burning-object	the highest degree of anger intensity is the highest degree of fire	metaphor			
anger	panas bara	<w>panas bara</w>	"pent-up wrath/anger; lit. hot embers"	stevens_and_schmidgall-tellings_2004	699	"pent-up wrath/anger; lit. hot embers"	fire	anger is fire		anger_fire	angry-person_burning-object	anger-level_fire-intensity	metaphor			
marah	amukan	mobil itu hancur karena <w>amukan</w> massa		"tesaurus_kemdikbud; kbbi"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://kbbi.kemdikbud.go.id/entri/amukan"	berserk	insanity	anger is insanity		anger_insanity	angry-person_insane-person	uncontrolled-angry-behaviour_insane-behaviour	metaphor			
marah	menggila			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00304144-a&lang=ind&lang2=eng	becoming crazy	insanity	anger is insanity		anger_insanity	angry-person_insane-person	becoming-uncontrollably-angry_becoming-insane	metaphor			
kemarahan	gila			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=14391876-n&lang=ind&lang2=eng	crazy	insanity	anger is insanity		anger_insanity	angry-person_insane-person	uncontrolled-angry-behaviour_insane-behaviour	metaphor			
kemarahan	histeria			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=14391876-n&lang=ind&lang2=eng	hysteria	insanity	anger is insanity		anger_insanity	angry-person_insane-person	uncontrolled-angry-behaviour_insane-behaviour	metaphor			
kemarahan	igauan			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=14391876-n&lang=ind&lang2=eng	"delirium; prattle"	insanity	anger is insanity		anger_insanity	angry-person_insane-person	uncontrolled-angry-behaviour_insane-behaviour	metaphor			
kemarahan	membabi buta			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=02723016-v&lang=ind&lang2=eng	"to rage; lit. to be wild hog"	insanity	anger is insanity		anger_insanity	angry-person_insane-person	becoming-uncontrollably-angry_becoming-insane	metaphor			blindness
kemarahan	mengamuk			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=02723016-v&lang=ind&lang2=eng	to go berserk	insanity	anger is insanity		anger_insanity	angry-person_insane-person	becoming-uncontrollably-angry_becoming-insane	metaphor			insanity
marah	kalap	Ia sudah <w>kalap</w> sampai lupa bahwa yang dimarahinya adalah anak sendiri		kamus_pusat_bahasa_2008	663	besides oneself with anger	insanity	anger is insanity		anger_insanity	angry-person_insane-person	uncontrolled-angry-behaviour_insane-behaviour	metaphor			
marah	bengkeng			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=01136248-a&lang=ind&lang2=eng	"touched; brush against"	contact	anger is physical contact/harm		person_harmed/contacted-entity	anger_physical-effect-of-touch/harm		metaphor			
marah	menyentil			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to flick/hit with one finger	contact	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			aggressive verbal behaviour
marah	menjentik			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00824767-v&lang=ind&lang2=eng	to pinch, tweak, nip	contact	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			aggressive verbal behaviour
angry	meremas perut	<w>meremas perut</w>	"to be angry; lit to knead/squeeze the stomach"	stevens_and_schmidgall-tellings_2004	820	to knead, squeeze the stomach	harm	anger is physical contact/harm	perut	person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
angry	meremas jantung	<w>meremas jantung</w>	"to be angry; lit to knead/squeeze the heart"	stevens_and_schmidgall-tellings_2004	820	to knead, squeeze the heart	harm	anger is physical contact/harm	jantung	person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
angry	rengat	<w>rengat hati</w>	"aggrieved, angry; lit crack/split open the liver"	stevens_and_schmidgall-tellings_2004	823	crack, split	harm	anger is physical contact/harm	hati	person_harmed/contacted-entity	anger_physical-effect-of-touch/harm		metaphor			
marah	melabrak	<w>melabrak</w>		tesaurus_kemdikbud	http://tesaurus.kemdikbud.go.id/tematis/lema/marah	whack, hit, beat	harm	anger is physical contact/harm		person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
angry	asah	<w>mengasah(kan) hati</w>	make angry	stevens_and_schmidgall-tellings_2004	57	sharpen	harm	anger is physical contact/harm	hati	person_harmed/contacted-entity	causing anger is physically touching/harming a person('s body)		metaphor			
marah	pegal hati	Membiarkan teman beracun terus mencerocos soal nasib buruknya bukan hanya membuat seseorang <w>pegal hati</w>		"tesaurus_kemdikbud; tirto-id"	"http://tesaurus.kemdikbud.go.id/tematis/lema/marah; https://tirto.id/cAHy"	stiff and sore from strain or exertion	harm	anger is physical contact/harm	hati	person_harmed/contacted-entity	anger_physical-effect-of-touch/harm		metaphor			
marah	mengkal			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00113818-a&lang=ind&lang2=eng	"hurt; irritated"	harm	anger is physical contact/harm		person_harmed/contacted-entity	anger_physical-effect-of-touch/harm		metaphor			"metonymic basis; feeling hard in the stomach"
marah	sakit hati			Indonesian WordNet	http://compling.hss.ntu.edu.sg/omw/cgi-bin/wn-gridx.cgi?usrname=&gridmode=wnbahasa&synset=00116529-a&lang=ind&lang2=eng	hurted liver	harm	anger is physical contact/harm		person_harmed/contacted-entity	anger_physical-effect-of-touch/harm		metaphor			
anger	bangkit	<w>bangkit</w> <t>amarah</t>	anger rose	stevens_and_schmidgall-tellings_2004	88	awake, rise/get up	awakening	anger is a sleeping organism		anger_sleeping-entity	anger-near-the-limit_awaken-entity		metaphor			
anger	membangkit	<w>membangkit</w> <t>marah</t>	to arouse one's anger	stevens_and_schmidgall-tellings_2004	88	to arouse sth.	awakening	anger is a sleeping organism		anger_sleeping-entity	causing anger is fishing/awakening the calm entity		metaphor			
anger	unek-unek	<w>unek-unek</w>		stevens_and_schmidgall-tellings_2004	1071	embitterment	taste	anger is bitterness		anger_bitterness	person-tasting-bitterness_person-experiencing-unfairness	undesirability-of-bitterness_undesirability-of-anger	metaphor			
